OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,EMS,PERM_ID,GNIS_ID,GlobalID,x2,y2
11,10462185,UNCLASSIFIED,PINE HOLLOW VOLUNTEER FIRE DEPARTMENT STATION 1,541-544-2338,11 SOUTH COUNTY ROAD, ,WAMIC,OR,97063,9749,WASCO,41065,EAST SIDE OF SOUTH COUNTY ROAD LESS THAN 0.10 MILE NORTH OF SOUTH HIGH ROAD., , , ,5/15/2008 12:00:00 AM,PHONE,6/2/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-121.2905106,45.2410007,TGS,2007Q2,ONENTITY,YES,TGS,WASC_FIR06A,00450,0,0,157,0,0,0,2,LOCAL, ,VOLUNTEER, , , ,N, , ,e3ff9e95-0bbe-44c1-b6fb-e4f4f5eb43cd,-13501999.938,5659542.745
12,10139450,UNCLASSIFIED,CITY OF BEND FIRE DEPARTMENT STATION 305 - NORTH FIRE STATION,541-322-6305,63377 JAMISON STREET, ,BEND,OR,97701,8288,DESCHUTES,41017,"NORTHWEST SIDE OF JAMISON STREET AT END OF JAMISON ST, 0.12 MI NORTH FROM THE INTERSECTION OF XANTHIPPE LANE AND JAMISON STREET", , , ,4/2/2008 12:00:00 AM,PHONE,4/2/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED, ,-121.3063028,44.1015432,TGS,2007Q2,ONENTITY,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,2e4f45b6-4c89-4b43-9b2b-8354f9348af2,-13503757.882,5481170.2254
13,10479483,UNCLASSIFIED,KINGSLEY FIELD FIRE DEPARTMENT-DOD,541-885-6381,216 GENTILE STREET, ,KLAMATH FALLS,OR,97603, ,KLAMATH,41035, , , , ,4/7/2008 12:00:00 AM,ALT REF,4/7/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121717688,-121.7443169,42.163128,NAVTEQ,2007Q2,ONENTITY, ,TGS, ,00454,0,0,24,0,0,0,1,FEDERAL GOVERNMENT - DOD, ,CAREER, , , ,Y, , ,c02f3b0b-2b9a-433a-a6bb-055ce5949d89,-13552517.3319,5185447.1837
14,10462254,UNCLASSIFIED,FOSSIL VOLUNTEER FIRE DEPARTMENT,541-763-4101,888 C STREET, ,FOSSIL,OR,97830, ,WHEELER,41069,NORTHWEST SIDE OF THE INTERSECTION OF C STREET AND ELLSWORTH STREET, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86515401,-120.210151,45.0020055,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WHEE_FIR05A,00122,0,0,12,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,2db58ba3-fd93-4756-9560-4e2164d8c999,-13381734.8595,5621837.7355
15,10139784,UNCLASSIFIED,PEORIA STATION 53,541-369-2419,29399 ABRAHAM DRIVE, ,SHEDD,OR,97377,9716,LINN,41043,"N SIDE OF ABRAHAM DRIVE, APPROXIMATELY .04MI E OF PEORIA RD", , , ,7/21/2006 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",86612737,-123.2048753,44.4476947,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , , , , ,909b2f04-8a39-4562-bd2f-dcb14d86b6d7,-13715105.9793,5534987.8693
16,10472185,UNCLASSIFIED,DUFUR VOLUNTEER FIRE DEPARTMENT,541-467-2401,175 NORTHEAST 3RD STREET, ,DUFUR,OR,97021, ,WASCO,41065,"S SIDE OF NE 3RD ST, BETWEEN MAIN ST AND WILLIAMS ST", , , ,3/18/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,AMBULANCE AND FIRE SERVICE COMBINED,86454114,-121.1303965,45.4532299,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, ,00098,0,0,22,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,724f7b64-d34e-432b-b211-85bd76044ebd,-13484176.1287,5693158.2168
17,10462010,UNCLASSIFIED,LOSTINE VOLUNTEER FIRE DEPARTMENT,541-569-2415,128 STATE HIGHWAY 82, ,LOSTINE,OR,97857, ,WALLOWA,41063,"E SIDE OF WATER ST, LESS THAN A TENTH OF A MILE S OF WALLOWA ST", , , ,3/18/2008 12:00:00 AM,PHONE,3/18/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,109793992,-117.4317706,45.486861,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WALL_FIR05A,00210,0,0,5,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,77fdec7c-e610-4097-9805-dd2d0475e8e6,-13072447.0291,5698496.7965
18,10139439,UNCLASSIFIED,MEDFORD FIRE AND RESCUE STATION 2,541-774-2300,1241 WEST 8TH STREET, ,MEDFORD,OR,97501,2913,JACKSON,41029,LOCATED IN SE CORNER OF W 8TH ST AND LINCOLN STREET., , , ,7/27/2006 12:00:00 AM,PHONE,7/27/2006 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,87447537,-122.8868246,42.3221924,NAVTEQ,2007Q2,ONENTITY,NO,TGS, ,00224,0,0,77,0,0,0,5,LOCAL, ,CAREER, , , ,Y, , ,dae1e755-088d-45e2-8095-aea903a250d9,-13679700.69,5209365.6869
19,10470675,UNCLASSIFIED,KENO RURAL FIRE PROTECTION DISTRICT STATION 3,541-883-3062,8000 STATE HIGHWAY 66, ,KLAMATH FALLS,OR,97601, ,KLAMATH,41035,"SE SIDE OF OR-66, ACROSS FROM GRACE DR", , , ,3/14/2008 12:00:00 AM,PHONE,3/14/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121257495,-121.8503744,42.1653087,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,4bed1c23-e694-49b3-8808-85cf57f71988,-13564323.5938,5185774.6987
20,10470674,UNCLASSIFIED,MILTON-FREEWATER RURAL FIRE DISTRICT - NORTH STATION,541-938-7146,EASTSIDE ROAD, ,MILTON FREEWATER,OR,97862, ,UMATILLA,41059,EAST SIDE OF EASTSIDE ROAD .25 MILES NORTH OF STILLER LANE., , , ,6/2/2008 12:00:00 AM,PHONE,6/2/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121067606,-118.3751991,45.9660828,NAVTEQ,2007Q2,ONENTITY,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,c1d054b3-918f-4a9b-aadb-77ebba2ff419,-13177469.009,5774916.1797
21,10470666,UNCLASSIFIED,JACKSON COUNTY FIRE DISTRICT 4 TRAIL STATION,541-878-2666,550 TAKELMA DRIVE, ,TRAIL,OR,97541,9601,JACKSON,41029,SOUTH SIDE OF TAKELMA DR BETWEEN CRATER LAKE HWY AND LODGE ROAD., , , ,3/14/2008 12:00:00 AM,PHONE,3/14/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86829823,-122.6943635,42.6588457,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,2e212b57-cf3e-4b34-b349-403e688f31e7,-13658276.0301,5260188.5366
22,10470664,UNCLASSIFIED,HERMISTON FIRE AND EMERGENCY SERVICES STATION 2,541-567-8822,32575 DIAGONAL ROAD, ,HERMISTON,OR,97838,7504,UMATILLA,41059,NW SIDE OF DIAGONAL RD. BETWEEN E PUNKIN CENTER RD AND CANAL RD., , , ,3/14/2008 12:00:00 AM,PHONE,3/14/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87459417,-119.2252167,45.8641592,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,8436e54a-973a-410f-a656-1dfc7a724436,-13272092.5164,5758607.8298
23,10470661,UNCLASSIFIED,AUMSVILLE RURAL FIRE PROTECTION DISTRICT - SUBSTATION 670,503-749-2894,5604 SHAW HIGHWAY SOUTHEAST, ,AUMSVILLE,OR,97325,9311,MARION,41047,LOCATED ON THE SOUTHEAST CORNER OF SILVER FALLS HIGHWAY SOUTHEAST AND SHAW HIGHWAY SOUTHEAST., , , ,3/14/2008 12:00:00 AM,PHONE,3/14/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86537793,-122.8604882,44.8728161,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,2d4fbc78-a0b7-4c70-befc-d199b5c957e5,-13676768.9994,5601521.6257
24,10470281,UNCLASSIFIED,LA PINE FIRE DEPARTMENT STATION 102,541-536-2935,57785 SOUTH CENTURY DRIVE, ,SUNRIVER,OR,97707, ,DESCHUTES,41017,LESS THAN A TENTH OF A MILE SOUTHWEST OF OLD WOOD RD AND S CENTURY DR INTERSECTION ON WEST SIDE OF S CENTURY DR, , , ,3/13/2008 12:00:00 AM,PHONE,3/12/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87473626,-121.4432862,43.8240013,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,e89a0f6f-6b9f-4700-81a0-1f1fd54b4a62,-13519006.7894,5438246.7762
25,10470274,UNCLASSIFIED,JACKSON COUNTY FIRE DISTRICT 3 GOLD HILL STATION,541-826-7100,299 ACCESS ROAD, ,GOLD HILL,OR,97525,9629,JACKSON,41029,SOUTH CORNER OF OR 234 AND CHAVENOR RD, , , ,3/11/2008 12:00:00 AM,PHONE,3/25/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87450103,-123.0422208,42.4289731,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,59aa3b15-81ac-4034-bb45-af34372b7e52,-13696999.3144,5225456.2296
26,10470273,UNCLASSIFIED,JACKSON COUNTY FIRE DISTRICT 3 AGATE LAKE STATION,541-826-7100,880 EAST ANTELOPE ROAD, ,EAGLE POINT,OR,97524,9601,JACKSON,41029,SOUTH CORNER OF E ANTELOPE RD AND AGATE DAM ACCESS RD, , , ,3/11/2008 12:00:00 AM,PHONE,3/11/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121715482,-122.771895,42.4209105,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,05c4f51a-67a8-4025-8abe-83d44a494894,-13666906.7888,5224240.3516
27,10470271,UNCLASSIFIED,JACKSON COUNTY FIRE DISTRICT 3 DODGE BRIDGE STATION,541-826-7100,60 ROGUE RIVER DRIVE, ,EAGLE POINT,OR,97524,9796,JACKSON,41029,NORTHEAST CORNER OF OR 234 AND ROGUE RIVER DR, , , ,3/11/2008 12:00:00 AM,PHONE,3/25/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121073540,-122.8457033,42.5264878,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,01e3f762-6655-4b08-ae5c-af45b3307341,-13675123.0931,5240174.4765
28,10470260,UNCLASSIFIED,IRRIGON RURAL FIRE PROTECTION DISTRICT,541-922-3133,705 NORTHEAST MAIN AVENUE, ,IRRIGON,OR,97844, ,MORROW,41049,NORTH SIDE OF NE MAIN AVE BETWEEN 7TH ST NE AND 8TH ST NE, , , ,3/11/2008 12:00:00 AM,PHONE,3/11/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",86388823,-119.492055,45.8965548,NAVTEQ,2007Q2,ONENTITY,YES,TGS, ,00172,0,0,15,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,N, , ,c3cbbed4-5033-42c6-bb3e-4bfe731e0edb,-13301796.8261,5763788.0481
29,10470249,UNCLASSIFIED,BOARDMAN RURAL FIRE PROTECTION DISTRICT STATION 2,541-481-3473,TOWER ROAD, ,BOARDMAN,OR,97818, ,MORROW,41049,FROM THE INTERSECTION OF SE AIRPORT RD AND TOWER RD TRAVEL SOUTH ON TOWER RD APPROXIMATELY 9 MILES ON WEST SIDE OF TOWER RD, , , ,3/11/2008 12:00:00 AM,PHONE,4/17/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",119730615,-119.7907147,45.6972127,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,3e853bef-390e-4531-b12f-1738566a9090,-13335043.4558,5731959.9173
30,10470404,UNCLASSIFIED,ILLINOIS VALLEY FIRE DISTRICT STATION 5,541-592-2225,4240 LAKE SHORE DRIVE, ,SELMA,OR,97538,9504,JOSEPHINE,41033,ON THE NORTH SIDE OF LAKE SHORE DRIVE 0.24 MILES EAST OF THOMPSON CREEK ROAD., , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121609508,-123.5500669,42.2656806,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,84396d11-b3b7-4db8-84e3-41b7e31fe83b,-13753532.4689,5200861.0812
31,10470402,UNCLASSIFIED,ILLINOIS VALLEY FIRE DISTRICT STATION 3,541-592-2225,10 LONE MOUNTAIN ROAD, ,OBRIEN,OR,97534, ,JOSEPHINE,41033,NW CORNER OF LONE MOUNTAIN RD AND REDWOOD HWY, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87760759,-123.7040605,42.0674891,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,fe96a229-04fa-41d5-8efb-98517069bb72,-13770674.9523,5171094.8742
32,10470401,UNCLASSIFIED,ILLINOIS VALLEY FIRE DISTRICT OLD STATION 3,541-592-2225,33054 REDWOOD HIGHWAY, ,OBRIEN,OR,97534,9701,JOSEPHINE,41033,"NW SIDE OF REDWOOD HWY, ACROSS FROM OBRIEN RD", , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,21197240,-123.7034835,42.06749,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,0a9f7f87-5fca-4748-9a5f-88c1336463f4,-13770610.7203,5171095.0088
33,10470400,UNCLASSIFIED,ILLINOIS VALLEY FIRE DISTRICT STATION 2,541-592-2225,18455 REDWOOD HIGHWAY, ,SELMA,OR,97538,9763,JOSEPHINE,41033,"E SIDE OF REDWOOD HWY,LESS THAN A TENTH OF A MILE S OF HOGUE DR", , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,129643956,-123.6161526,42.2769334,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,99f80402-5539-4388-badf-433e30e20fc8,-13760889.103,5202553.931
34,10470399,UNCLASSIFIED,ILLINOIS VALLEY FIRE DISTRICT STATION 1,541-592-2225,679 CAVES HIGHWAY, ,CAVE JUNCTION,OR,97523,9820,JOSEPHINE,41033,SW CORNER OF CAVES HWY AND KELLER LN, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121736726,-123.6357319,42.1592157,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,9cec74e6-b0ca-4499-918c-54002de177fc,-13763068.6491,5184859.6178
35,10470388,UNCLASSIFIED,KEATING RURAL FIRE PROTECTION DISTRICT,541-523-6047,27488 KEATING GRANGE LANE, ,BAKER CITY,OR,97814,6047,BAKER,41001,LOCATED ON WEST SIDE OF KEATING GRANGE LANE 0.79 MILES SOUTH FROM KEATING GRANGE LANE MOTHERLODE RD INTERSECTION, , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121275216,-117.5242733,44.8618918,NAVTEQ,2007Q2,ONENTITY,YES,TGS, ,00513,0,0,15,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,2a2b41b0-fe83-4226-8a22-9d5e4be22969,-13082744.3621,5599805.904
36,10470376,UNCLASSIFIED,GRESHAM FIRE AND EMERGENCY SERVICES STATION 75,503-618-2355,600 SOUTHWEST CHERRY PARK ROAD, ,TROUTDALE,OR,97060,4436,MULTNOMAH,41051,SOUTHWEST SIDE OF THE INTERSECTION OF SW CHERRY PARK RD AND NE 262ND AVE, , , ,3/12/2008 12:00:00 AM,PHONE,3/12/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,21312690,-122.3936747,45.5333158,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,2c20af0e-1056-42a4-af51-ffb14ae4d59f,-13624803.5881,5705876.0379
37,10470374,UNCLASSIFIED,GRESHAM FIRE AND EMERGENCY SERVICES STATION 74,503-618-2355,1520 NORTHEAST 192ND AVENUE, ,PORTLAND,OR,97230,7001,MULTNOMAH,41051,NORTHEAST SIDE OF THE INTERSECTION OF NE 192ND AVE AND NE HALSEY ST, , , ,3/12/2008 12:00:00 AM,PHONE,3/12/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,21312589,-122.4658513,45.5339462,NAVTEQ,2007Q2,ONENTITY,NO,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,8b425174-fe0c-4d2b-b48c-93071b9b296a,-13632838.2501,5705976.2089
38,10470386,UNCLASSIFIED,PHILOMATH FIRE AND RESCUE STATION 202,541-929-3809,34925 WREN ROAD, ,PHILOMATH,OR,97370,9755,BENTON,41003,ON EAST SIDE OF WREN ROAD BETWEEN ECHO HILLS ROAD AND HARRIS ROAD., , , ,3/12/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,922160,FIRE AND RESCUE SERVICE,92539314,-123.4261497,44.5866875,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,273ba5e0-b438-461a-abbb-65b1060398c0,-13739738.1325,5556687.3643
